1;MABL000007;2016-03-24;Ampliação realizada de 1 para 2 Gbps
2;MABL000007;2016-03-23;Configuração para 24/03/2016.
3;MABL000007;2016-03-21;Aguardando projeto lógico pela GERT.
4;MABL000007;2016-03-17;Aguardando projeto lógico pela GERT.
5;MABL000007;2016-03-14;Aguardando confirmação das fusões do cliente.
6;MABL000007;2016-03-07;Aguardando fusões do cliente, agendado para 10/03.
7;MABL000007;2016-03-04;Agendado para o cliente realizar fusão em novo par de FO para 10/03 (aberta RDM e ocorrência)
8;MABL000007;2016-03-03;Encaminhada a demanda para a engenharia.
9;MABL000007;2016-02-18;Ampliação de 1000 para 2000 Mbps não executada.  A interface física  para o cliente tem apenas 1Gbps. Será necessário no mínimo um port
10;MABL000049;2016-06-21;Aguardando projeto de abordagem cliente desde 01/03.
11;MABL000049;2016-06-07;Aguardando projeto de abordagem cliente desde 01/03.
12;MABL000049;2016-05-31;Aguardando projeto de abordagem cliente desde 01/03.
13;MABL000049;2016-05-24;Aguardando projeto de abordagem cliente desde 01/03.
14;MABL000049;2016-05-11;Aguardando projeto de abordagem cliente desde 01/03.
15;MABL000049;2016-05-03;Aguardando projeto de abordagem cliente desde 01/03.
16;MABL000049;2016-04-26;Aguardando projeto de abordagem cliente desde 01/03.
17;MABL000049;2016-04-19;Aguardando projeto de abordagem cliente.
18;MABL000049;2016-04-12;Aguardando projeto de abordagem cliente.
19;MABL000049;2016-04-05;Aguardando projeto de abordagem cliente.
20;MABL000049;2016-03-29;Aguardando projeto de abordagem cliente.
21;MABL000049;2016-03-21;Aguardando projeto de abordagem cliente.
22;MABL000049;2016-03-15;Aguardando projeto de abordagem cliente.
23;MABL000049;2016-03-07;Aguardando projeto de abordagem cliente.
24;MABL000049;2016-03-01;Aguardando projeto de abordagem cliente.
25;MABL000050;2016-06-07;Cliente ativado.
26;PABL000028;2016-06-21;Aguardando projeto de abordagem cliente desde 01/03.
27;PABL000028;2016-06-07;Aguardando projeto de abordagem cliente desde 01/03.
28;PABL000028;2016-05-31;Aguardando projeto de abordagem cliente desde 01/03.
29;PABL000028;2016-05-24;Aguardando projeto de abordagem cliente desde 01/03.
30;PABL000028;2016-05-11;Aguardando projeto de abordagem cliente desde 01/03.
31;PABL000028;2016-05-03;Aguardando projeto de abordagem cliente desde 01/03.
32;PABL000028;2016-04-26;Aguardando projeto de abordagem cliente desde 01/03.
33;PABL000028;2016-04-19;Aguardando projeto de abordagem cliente.
34;PABL000028;2016-04-12;Aguardando projeto de abordagem cliente.
35;PABL000028;2016-04-05;Aguardando projeto de abordagem cliente.
36;PABL000028;2016-03-29;Aguardando projeto de abordagem cliente.
37;PABL000028;2016-03-21;Aguardando projeto de abordagem cliente.
38;PABL000028;2016-03-15;Aguardando projeto de abordagem cliente.
39;PABL000028;2016-03-07;Aguardando projeto de abordagem cliente.
40;PABL000028;2016-03-01;Aguardando projeto de abordagem em FO cliente.
41;TOBL000036;2015-05-26;Recebido OS de cancelamento. Solicitado desconfiguração do circuito, liberação dos filtros BGP e retirada do rádio do cliente do PoP de Araguaína
42;AMBL000003;2015-09-15;Liberação do Transito.
43;AMBL000003;2015-08-28;Inclusão de Transito (ANS a ser liberado: AS: 264470
